,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
12854,3.2,3,0,0,0,0,0,TBD,"[""'Indie'""]",2024
12855,3.2,2,0,0,0,4,0,"Feb 01, 1993","[""'Sport'""]",1993
12856,2.4,56,0,10,5,4,2,"Nov 13, 2007","[""'Racing'"", ""'Sport'""]",2007
12857,2.5,217,1,14,4,15,6,"Jan 15, 2013","[""'Adventure'"", ""'RPG'""]",2013
12858,2.5,22,0,12,5,9,1,"Apr 20, 2010","[""'Music'""]",2010
12859,3.1,32,0,11,7,9,2,"Aug 10, 2004","[""'Fighting'""]",2004
12860,4.4,97,14,45,16,26,4,"Nov 10, 2020","[""'Brawler'"", ""'RPG'""]",2020
12861,3.0,18,0,2,1,1,1,"Feb 12, 2012","[""'Adventure'"", ""'Arcade'"", ""'Platform'"", ""'Puzzle'""]",2012
12862,3.2,1,0,0,3,0,0,"Sep 25, 2006","[""'Adventure'"", ""'Brawler'""]",2006
12863,3.2,0,0,1,0,1,0,"Sep 21, 2016","[""'Visual Novel'""]",2016
12864,2.5,8,0,15,1,10,1,"Dec 04, 2016","[""'Adventure'"", ""'Indie'""]",2016
12865,3.2,1,0,5,5,7,0,"Apr 27, 2007","[""'RPG'""]",2007
12866,2.8,18,1,26,9,8,1,"Apr 17, 2018","[""'Adventure'"", ""'Puzzle'""]",2018
12867,3.5,79,11,181,117,37,9,"Oct 08, 2019","[""'Adventure'"", ""'RPG'""]",2019
12868,3.2,9,0,16,3,9,1,"Dec 31, 1996","[""'Adventure'""]",1996
12869,2.3,11,0,2,1,4,1,"Aug 06, 2014","[""'Pinball'"", ""'RPG'""]",2014
12870,2.8,21,0,57,6,19,1,"Jun 10, 2015","[""'Adventure'"", ""'Indie'""]",2015
12871,2.5,21,0,3,6,1,0,"Dec 23, 1993","[""'Fighting'""]",1993
12872,3.2,2,0,0,2,0,0,"Jan 17, 2016","[""'Fighting'"", ""'Platform'""]",2016
12873,3.2,2,0,1,0,2,0,TBD,[],2024
12874,3.2,0,0,1,1,5,0,"Aug 20, 2015","[""'Strategy'""]",2015
12875,3.2,0,0,2,5,3,0,"Jul 30, 2015","[""'Visual Novel'""]",2015
12876,3.2,3,0,0,0,0,0,"Jul 31, 2007","[""'Simulator'"", ""'Sport'""]",2007
12877,3.2,2,0,1,3,1,0,TBD,"[""'Music'""]",2024
12878,3.2,2,0,1,2,0,0,"Apr 27, 2018","[""'Adventure'"", ""'Indie'""]",2018
12879,3.5,6,1,10,3,9,0,"Apr 29, 2019","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2019
12880,2.7,44,0,17,6,16,5,"Nov 18, 2019","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2019
12881,3.1,15,0,20,22,26,2,"Jun 20, 2020","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2020
12882,2.7,23,0,23,22,15,5,"Apr 19, 2001",[],2001
12883,3.2,7,0,6,10,4,0,"May 22, 2014","[""'Visual Novel'""]",2014
12884,2.0,4,0,2,1,1,1,"Dec 31, 2003","[""'Fighting'""]",2003
