"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"3.9","12K","448","3.3K","3.2K","1.9K","1.2K","Nov 12, 2020","['Adventure', 'Brawler']"
"4.3","6.9K","939","5.6K","3.1K","1.9K","741","Jan 16, 2020","['Adventure', 'RPG', 'Turn Based Strategy']"
"4.2","9.7K","1.1K","2.9K","2.4K","1.5K","855","Mar 25, 2021","['Adventure', 'Platform', 'Puzzle']"
"4.5","10K","569","5.5K","2.4K","2.2K","520","Mar 11, 1995","['Adventure', 'RPG']"
"3.6","23K","1.9K","1.5K","1.2K","1.8K","1.6K","Mar 19, 2020","['Simulator']"
"4.2","20K","252","2K","524","2.4K","924","Nov 21, 1990","['Adventure', 'Platform']"
"4.4","11K","172","3.1K","1.6K","2.1K","666","Nov 13, 2001","['Adventure']"
"4.4","14K","385","4.6K","2.1K","2.6K","743","Apr 27, 2000","['Adventure']"
"3.9","16K","391","3.7K","1.5K","2.2K","1K","Jan 24, 2017","['Adventure', 'Puzzle', 'Shooter']"
"4.3","13K","876","3.1K","1.8K","1.6K","944","May 23, 2018","['Adventure', 'RPG']"
"3.5","20K","75","839","263","1.7K","983","Sep 13, 1985","['Adventure', 'Platform']"
"4.2","19K","249","2.4K","1.7K","2.4K","815","Jun 14, 2013","['Adventure', 'Shooter']"
"4.0","21K","797","2.6K","687","1.4K","1.2K","May 16, 2011","['Adventure', 'Indie', 'Platform', 'RPG', 'Simulator', 'Strategy']"
"4.4","10K","346","3.9K","1.9K","2.1K","714","Mar 20, 1997","['Adventure', 'Platform', 'RPG']"
"4.2","10K","653","5.5K","2K","2.1K","723","Aug 27, 1994","['Adventure', 'RPG', 'Turn Based Strategy']"
"3.8","16K","596","5.2K","1.4K","1.7K","922","Sep 01, 2015","['Adventure', 'Shooter', 'Tactical']"
"4.3","12K","331","3.4K","999","2.5K","843","Mar 19, 1994","['Adventure', 'Platform', 'Shooter']"
"4.1","21K","310","2.7K","846","1.8K","765","Oct 26, 2004","['Adventure', 'Racing', 'Shooter']"
"4.0","22K","840","914","709","1.8K","988","Apr 28, 2017","['Arcade', 'Racing']"
"3.5","12K","322","2.9K","1.2K","1.4K","735","Aug 23, 2001","['Brawler']"
"4.0","16K","278","2.8K","1.1K","1.6K","819","Oct 23, 2012","['Arcade', 'Indie', 'Shooter']"
"4.1","9.4K","696","3.3K","1.6K","1.6K","819","Apr 19, 2007","['RPG', 'Simulator', 'Visual Novel']"
"3.2","22K","445","448","222","1.1K","1.3K","May 24, 2016","['Shooter', 'Strategy']"
"4.0","13K","1.1K","3.9K","1.7K","2K","1.1K","Jul 25, 2019","['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']"
"4.3","4.1K","505","3.7K","2.7K","1.3K","468","Nov 28, 2019","['Adventure', 'Simulator', 'Strategy', 'Tactical']"
"3.9","19K","271","2.8K","783","1.6K","733","Aug 25, 2009","['Adventure', 'Brawler']"
"4.0","15K","375","3.4K","1.1K","1.5K","813","Nov 19, 1998","['Adventure', 'Puzzle', 'Shooter']"
"4.5","6.3K","297","4.1K","2.1K","1.8K","571","Apr 20, 2006","['RPG', 'Turn Based Strategy']"
"3.7","15K","445","3.8K","1.1K","2K","931","Jul 19, 2002","['Adventure', 'Platform']"
"4.3","8.3K","921","4.1K","2.2K","1.6K","825","May 29, 2020","['RPG']"
"3.9","22K","333","1.8K","419","1.3K","801","Nov 17, 2009","['Shooter']"
"4.1","18K","209","3.2K","791","1.8K","710","Oct 18, 2011","['Adventure', 'Brawler']"
"4.2","4.9K","330","3.2K","2.5K","1.3K","582","Aug 24, 2021","['Adventure', 'Platform']"
"3.6","15K","763","4.6K","1.6K","1.4K","702","Feb 28, 2017","['Adventure', 'RPG', 'Shooter']"
"2.1","15K","1.3K","371","62","561","1.5K","Oct 27, 2009","['MOBA', 'RPG', 'Strategy']"
"3.6","11K","645","6K","1.5K","1.4K","658","Aug 27, 2019","['Adventure', 'Shooter']"
"3.8","6.3K","497","2.5K","1.5K","1.2K","746","Oct 26, 2021","['Adventure', 'RPG', 'Shooter']"
"3.7","11K","490","3.9K","1.2K","1.4K","884","Jan 21, 2016","['Adventure', 'Brawler', 'RPG']"
"3.5","13K","334","2.2K","797","1.1K","966","Nov 25, 2010","['Adventure', 'Point-and-Click', 'Visual Novel']"
"3.3","7.5K","638","1.9K","1.1K","1.1K","764","Nov 15, 2021","['Adventure', 'Shooter']"
"3.6","3.8K","666","2.1K","2.5K","672","422","Aug 11, 2022","['Adventure', 'Brawler', 'Indie', 'RPG', 'Simulator', 'Strategy']"
"2.7","7K","324","428","218","542","621","Jul 19, 2022","['Fighting']"
"4.0","13K","428","3.9K","862","1.5K","832","Aug 15, 2017","['Adventure', 'Platform']"
"3.9","18K","591","611","180","1.1K","1.2K","Oct 09, 2007","['Shooter']"
"3.4","3K","825","1.3K","2K","645","483","Feb 10, 2023","['Adventure', 'RPG']"
"3.3","16K","150","1.7K","529","878","977","Sep 22, 2017","['Adventure', 'Indie', 'Visual Novel']"
"3.2","10K","184","2.9K","1.8K","1.7K","891","Apr 03, 2020","['Adventure', 'Shooter']"
"4.1","14K","430","3.8K","1.1K","2K","555","Nov 21, 1991","['Adventure', 'Puzzle']"
"3.9","8.3K","501","3.1K","1.8K","1.6K","823","Dec 01, 2017","['Adventure', 'RPG']"
"4.1","11K","216","2.5K","1.7K","1.3K","869","Apr 18, 2019","['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']"
"4.1","13K","488","2.2K","1.1K","1.5K","717","Sep 15, 2005","['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']"
"4.1","7.8K","300","2.8K","1.9K","1.5K","534","Feb 23, 1999","['Adventure', 'Puzzle']"
"4.4","12K","154","3.3K","1.9K","1.7K","498","Oct 18, 2005","['Adventure', 'Platform', 'Puzzle']"
"3.5","17K","243","2.4K","959","1.6K","883","Jan 29, 2015","['Adventure', 'Puzzle', 'RPG']"
"3.2","18K","483","3.5K","874","1.2K","867","Nov 09, 2015","['RPG', 'Shooter']"
"3.5","13K","485","3.1K","1.2K","1.1K","872","Apr 02, 2015","['Adventure', 'RPG']"
"4.1","16K","208","3.1K","1.3K","2.1K","761","May 10, 2016","['Adventure', 'Shooter']"
"3.6","19K","399","3.2K","580","1.2K","824","Sep 18, 2012","['RPG', 'Shooter']"
"3.9","16K","309","3.7K","999","1.3K","591","Oct 09, 2012","['Adventure', 'Puzzle', 'RPG']"
"4.1","10K","776","4.1K","3.5K","1.6K","692","Jul 17, 2020","['Adventure', 'Brawler', 'RPG']"
"3.8","21K","65","609","287","1.5K","905","Jan 31, 2008","['Fighting', 'Platform']"
"4.5","10K","147","2.8K","1.5K","1.8K","533","Nov 17, 2004","['Adventure', 'Shooter', 'Tactical']"
"4.0","16K","128","1.6K","424","1.8K","645","Oct 23, 1988","['Platform']"
"4.1","4.5K","1.2K","812","1.1K","947","675","Sep 09, 2022","['Platform', 'Shooter']"
"4.0","8K","411","4.8K","1.4K","1.3K","565","Apr 19, 2005","['Adventure', 'Platform', 'Puzzle']"
"3.5","5.1K","420","2.9K","2.1K","1K","540","Sep 14, 2021","['Adventure', 'Shooter']"
"3.8","15K","304","4.1K","897","1.4K","713","Jun 23, 2015","['Adventure', 'Brawler']"
"3.9","14K","104","3.1K","1.9K","1.7K","598","Mar 13, 2012","['Adventure', 'Platform']"
"4.1","13K","203","2.5K","772","1.5K","933","Oct 28, 2016","['Adventure', 'Shooter']"
"4.3","2.2K","257","1.5K","2.4K","661","328","Jan 27, 2023","['Adventure', 'RPG', 'Shooter']"
"3.8","3.4K","346","2.2K","2.7K","733","359","Feb 08, 2022","['Brawler', 'Fighting', 'Indie']"
"4.3","14K","281","2K","782","1.3K","826","Jul 26, 2014","['Adventure', 'Shooter']"
"4.6","4.8K","561","3.3K","2.1K","1.3K","364","Oct 15, 2019","['Adventure', 'RPG', 'Turn Based Strategy']"
"3.4","19K","664","785","124","1K","721","Jul 06, 2015","['Indie', 'Racing', 'Sport']"
"4.2","14K","258","2.9K","1.9K","1.7K","544","May 18, 2010","['Adventure', 'RPG', 'Shooter']"
"3.8","4.2K","226","1.1K","934","998","543","Jun 16, 2022","['Arcade', 'Brawler', 'Indie']"
"3.7","2K","105","1.1K","417","452","501","Mar 31, 2023","['Indie', 'Point-and-Click', 'Simulator', 'Visual Novel']"
"3.9","21K","107","541","184","1.3K","793","Apr 10, 2008","['Racing']"
"3.5","17K","208","3.1K","593","1K","512","Mar 04, 2013","['Adventure', 'Platform', 'Puzzle', 'Shooter']"
"4.3","15K","144","2.9K","1.5K","2K","668","May 23, 2010","['Adventure', 'Platform']"
"3.9","13K","221","2.2K","588","1.5K","644","Nov 18, 1994","['Adventure', 'Platform']"
"3.9","6.5K","807","967","1.3K","927","617","Jun 11, 2021","['Fighting']"
"4.0","18K","249","1.2K","425","1.4K","677","Sep 16, 2004","['Adventure', 'RPG', 'Turn Based Strategy']"
"3.6","2K","245","2.1K","2.4K","781","393","Oct 28, 2022","['Brawler']"
"3.5","13K","249","2.7K","1.5K","1.2K","752","May 25, 2018","['Adventure', 'Puzzle']"
"3.5","18K","119","964","335","1.1K","625","May 15, 2006","['Adventure', 'Platform']"
"4.1","9.5K","384","3.4K","1.1K","1.8K","389","Jul 19, 2001","['Adventure', 'RPG']"
"3.5","15K","155","2.6K","967","1.1K","452","Jul 21, 2010","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"3.9","13K","109","2K","793","641","678","Oct 31, 2018","['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
"3.3","12K","410","3.7K","1.3K","1.3K","649","Nov 29, 2016","['Adventure', 'RPG']"
"3.9","6.8K","1.2K","2.2K","1.4K","880","505","Mar 26, 2021","['Adventure', 'Brawler', 'RPG']"
"4.3","3.2K","273","2.9K","1.5K","1.3K","396","Jun 09, 2005","['Adventure', 'Puzzle', 'Shooter']"
"3.8","11K","840","3.3K","1.7K","945","501","Aug 06, 2018","['Adventure', 'Indie', 'Platform']"
"3.7","17K","210","2.2K","780","1.1K","577","Nov 28, 2012","['Adventure', 'Shooter']"
"4.0","8.8K","171","2.4K","888","1.5K","600","Nov 17, 2002","['Adventure', 'Platform', 'Puzzle', 'Shooter']"
"4.4","3.8K","551","1.9K","1.5K","771","634","Sep 03, 2020","['Indie', 'Shooter']"
"3.8","3.4K","637","2.6K","2.6K","949","405","Feb 18, 2022","['Adventure', 'RPG']"
"4.2","13K","270","3.1K","1.6K","1.8K","447","Dec 13, 2002","['Adventure', 'Puzzle', 'RPG']"
"4.1","16K","288","1.5K","515","1.5K","671","Sep 13, 2008","['Adventure', 'RPG', 'Turn Based Strategy']"
"4.3","7.5K","367","3.9K","1.4K","1.8K","368","Jul 07, 2000","['RPG', 'Turn Based Strategy']"
"4.2","2.8K","398","2.9K","2.2K","820","399","Jul 26, 2021","['Brawler', 'RPG']"
"3.8","16K","138","577","90","823","647","May 05, 2009","['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']"
"3.9","11K","306","2K","662","1.1K","813","Jul 26, 2012","['Adventure', 'Point-and-Click', 'Visual Novel']"
"4.0","7.3K","353","4.8K","1.3K","1.3K","413","May 04, 2017","['Adventure', 'Puzzle', 'Shooter']"
"3.9","10K","172","2.8K","1.1K","1.5K","523","Jun 29, 2016","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"4.3","2.8K","378","3.2K","1.6K","1.2K","305","Feb 11, 1998","['RPG']"
"3.9","12K","250","2.5K","1.4K","831","525","Aug 08, 2013","['Indie', 'Point-and-Click', 'Puzzle', 'Simulator']"
"3.7","9.2K","306","4.2K","1.2K","1.1K","471","Apr 28, 2017","['Adventure', 'Platform', 'Puzzle']"
"3.7","5.8K","832","4.1K","1.7K","1.1K","534","Feb 20, 2020","['Adventure', 'Brawler', 'RPG']"
"3.2","15K","632","623","94","624","899","Aug 21, 2012","['Shooter', 'Tactical']"
"3.0","1.8K","225","1K","1.3K","440","356","Feb 21, 2023","['Adventure', 'RPG', 'Shooter']"
"3.1","12K","224","2K","664","1.3K","654","Mar 05, 2009","['Adventure', 'Puzzle', 'Shooter']"
"4.1","4K","168","1.3K","1.6K","683","427","Apr 27, 2022","['Adventure', 'Simulator']"
"3.5","14K","146","2.5K","950","929","496","Nov 11, 2008","['Adventure', 'Platform', 'Shooter']"
"4.5","1.6K","145","493","414","372","353","Apr 25, 2023","['Adventure', 'RPG']"
"4.0","12K","260","3K","1.5K","1.1K","370","Nov 19, 2006","['Adventure', 'Puzzle', 'RPG']"
"3.8","13K","182","1.3K","494","1.4K","598","Nov 15, 2001","['Shooter']"
"3.9","7.6K","375","3.5K","1.2K","1.3K","641","Dec 07, 2017","['Adventure', 'RPG']"
"3.9","8.5K","288","2.4K","890","1.1K","770","Jan 12, 2017","['Adventure', 'Point-and-Click', 'Visual Novel']"
"3.7","15K","242","2.6K","820","1.3K","607","Oct 29, 2013","['Adventure', 'Platform']"
"4.1","1.2K","356","1.2K","2.4K","563","292","Apr 28, 2023","['Adventure']"
"4.0","16K","158","550","371","1.5K","639","Nov 21, 2001","['Fighting', 'Platform']"
"3.9","8.6K","112","2.9K","1.5K","1.4K","491","Jun 12, 2008","['Adventure', 'Shooter', 'Tactical']"
"4.1","7.4K","556","2.1K","1.6K","1K","565","Feb 12, 2021","['Adventure', 'Platform']"
"4.3","1.5K","259","1.2K","1K","652","295","Nov 15, 2022","['Adventure', 'RPG']"
"4.4","7.4K","185","1.6K","576","980","489","Jan 24, 2006","['Adventure', 'Brawler', 'Shooter']"
"4.1","4.6K","364","2.7K","1.2K","938","546","Sep 17, 2019","['Adventure', 'Puzzle', 'Visual Novel']"
"4.2","5.7K","191","2.4K","1.6K","1.3K","384","May 23, 2003","['Adventure', 'Puzzle']"
"4.1","6.7K","172","3.7K","2.2K","1.3K","418","Sep 20, 2014","['Brawler']"
"4.2","12K","396","2.2K","672","1.2K","521","Jun 16, 2011","['Adventure', 'Puzzle', 'RPG']"
"4.3","7K","309","4.4K","2.5K","1.4K","419","Mar 10, 2020","['Adventure', 'Platform']"
"4.2","4.5K","375","2.8K","1.5K","1.2K","363","Feb 20, 2003","['RPG']"
"3.7","11K","59","980","269","1.4K","650","Nov 21, 1992","['Adventure', 'Platform']"
"4.3","5.3K","212","3K","2.7K","1.2K","426","Oct 18, 2018","['Adventure', 'Indie', 'Puzzle']"
"4.0","8.1K","366","3.1K","1.8K","1K","614","Oct 05, 2017","['Adventure', 'Indie', 'Platform']"
"3.9","9.9K","323","3K","1K","1.3K","475","Nov 04, 2004","['Adventure', 'Puzzle', 'RPG']"
"4.3","7.6K","225","2.9K","1.3K","1.6K","381","Nov 17, 2002","['Adventure', 'Platform', 'Puzzle', 'Shooter']"
"3.6","13K","155","1.2K","511","1.2K","580","Nov 03, 2011","['Platform']"
"2.8","2.2K","218","764","631","367","429","Dec 13, 2022","['Shooter']"
"3.8","1.7K","304","1.4K","1.5K","517","294","Dec 13, 2022","['RPG']"
"4.2","5.8K","281","3.1K","1.6K","1.1K","367","Jul 26, 2007","['Arcade', 'RPG']"
"3.8","16K","42","767","332","1.2K","531","Nov 10, 2009","['Shooter']"
"4.1","11K","180","2.9K","1.3K","1.5K","485","Nov 22, 2013","['Adventure', 'Puzzle', 'RPG']"
"4.0","13K","121","1.2K","542","1.4K","526","Apr 24, 2012","['Adventure', 'Point-and-Click']"
"3.8","17K","47","497","180","1K","549","Nov 14, 2005","['Racing']"
"1.6","7.1K","65","1.8K","589","723","675","Jan 25, 2003","['Adventure', 'Brawler']"
